csvdate,nav
2025-03-27,9.1083
2025-03-28,9.0908
2025-03-31,8.9298
2025-04-01,9.0099
2025-04-02,9.0408
2025-04-03,8.9941
2025-04-07,8.2971
2025-04-08,8.3642
2025-04-09,8.2884
2025-04-10,8.5133
2025-04-11,8.5634
2025-04-14,8.7332
2025-04-15,8.8244
2025-04-16,8.7581
2025-04-17,8.8627
2025-04-22,8.8905
2025-04-23,8.9868
2025-04-24,8.9609
2025-04-25,8.9839
2025-04-28,9.0275
2025-04-29,9.0081
2025-04-30,9.0937
2025-05-06,9.2462
2025-05-07,9.2448
2025-05-08,9.256
2025-05-09,9.2572
2025-05-12,9.3552
2025-05-13,9.3131
2025-05-14,9.4442
2025-05-15,9.4451
2025-05-16,9.4435
2025-05-19,9.4192
2025-05-20,9.4408
2025-05-21,9.5143
2025-05-22,9.4451
2025-05-23,9.4853
2025-05-26,9.4474
2025-05-27,9.4203
2025-05-28,9.3936
2025-05-29,9.4218
2025-05-30,9.3888
2025-06-03,9.3698
2025-06-04,9.4509
2025-06-05,9.5001
2025-06-06,9.5311
2025-06-09,9.5437
2025-06-10,9.5899
2025-06-11,9.6783
2025-06-12,9.6411
2025-06-13,9.5911
2025-06-16,9.5831
2025-06-17,9.5968
2025-06-18,9.5626
2025-06-19,9.4177
2025-06-20,9.4921
2025-06-23,9.3943
2025-06-24,9.5869
2025-06-25,9.6611
2025-06-26,9.6688
2025-06-27,9.7317
2025-06-30,9.6523
2025-07-02,9.7695
2025-07-03,9.8485
2025-07-04,9.7722
2025-07-07,9.7237
2025-07-08,9.7646
2025-07-09,9.7504
2025-07-10,9.7453
2025-07-11,9.7349
2025-07-14,9.7516
2025-07-15,9.8322
2025-07-16,9.8062
2025-07-17,9.8329
2025-07-18,9.9199
2025-07-21,9.9587
2025-07-22,9.9675
2025-07-23,10.0597
2025-07-24,10.0723
2025-07-25,10.0246
2025-07-28,10.1111
2025-07-29,10.1124
2025-07-30,10.1272
2025-07-31,10.0272
2025-08-01,9.8821
2025-08-04,9.9372
2025-08-05,9.9964
2025-08-06,9.9785
2025-08-07,10.0846
2025-08-08,10.0371
2025-08-11,10.0711
2025-08-12,10.0947
2025-08-13,10.2549
2025-08-14,10.2365
2025-08-15,10.2371
2025-08-18,10.2197
2025-08-19,10.1964
2025-08-20,10.1259
2025-08-21,10.1617
2025-08-22,10.1655
2025-08-25,10.2593
2025-08-26,10.139
2025-08-27,10.1329
2025-08-28,10.0318
2025-08-29,10.0467
2025-09-01,10.1715
2025-09-02,10.131
2025-09-03,10.138
2025-09-04,10.0861
2025-09-05,10.178
2025-09-08,10.2447
2025-09-09,10.3223
2025-09-10,10.4196
2025-09-11,10.3685
2025-09-12,10.5262
2025-09-15,10.5497
2025-09-16,10.5888
2025-09-17,10.6151
2025-09-18,10.5537
2025-09-19,10.5127
2025-09-22,10.5321
2025-09-23,10.5329
2025-09-24,10.609
2025-09-25,10.5863
2025-09-26,10.4472
2025-09-29,10.5581
2025-09-30,10.6013
2025-10-09,10.8435
2025-10-10,10.7228
2025-10-13,10.5705
2025-10-14,10.5178
2025-10-15,10.6955
2025-10-16,10.7483
2025-10-17,10.6292
2025-10-20,10.7782
2025-10-21,10.8107
2025-10-22,10.7507
2025-10-23,10.7482
2025-10-24,10.7886
2025-10-27,10.8978
2025-10-28,10.8581
2025-10-30,10.9294
2025-10-31,10.855
2025-11-03,10.9024
2025-11-04,10.7735
2025-11-05,10.7124
2025-11-06,10.7738
2025-11-07,10.6859
2025-11-10,10.7916
2025-11-11,10.7929
2025-11-12,10.8238
2025-11-13,10.79
2025-11-14,10.6369
2025-11-17,10.6338
2025-11-18,10.4694
2025-11-19,10.4557
2025-11-20,10.5111
2025-11-21,10.2457
2025-11-24,10.34
2025-11-25,10.3711
2025-11-26,10.4846
2025-11-27,10.5005
2025-11-28,10.4762
2025-12-01,10.4736
2025-12-02,10.5343
2025-12-03,10.4954
2025-12-04,10.5166
2025-12-05,10.5786
2025-12-08,10.5788
2025-12-09,10.5048
2025-12-10,10.5234
2025-12-11,10.5081
2025-12-12,10.5704
2025-12-15,10.4321
2025-12-16,10.3068
2025-12-17,10.3439
2025-12-18,10.3073
2025-12-19,10.3707
2025-12-22,10.5033
2025-12-23,10.5255
2025-12-24,10.5481
2025-12-29,10.5806
2025-12-30,10.592
2025-12-31,10.5788
2026-01-05,10.9023
2026-01-06,10.9805
